id,x,y
0,6371.0,1811.0
1,6390.0,1811.0
2,6416.0,1810.0
3,6443.0,1810.0
4,6390.0,1810.0
5,6494.0,1810.0
6,6553.0,1808.0
7,6558.0,1808.0
8,6638.0,1808.0
9,6606.0,1808.0
10,6694.0,1808.0
11,6722.0,1808.0
12,6753.0,1807.0
13,6755.0,1807.0
14,6552.0,1805.0
15,6569.0,1800.0
16,6489.0,1798.0
17,6751.0,1798.0
18,6386.0,1797.0
19,6416.0,1795.0
20,6738.0,1790.0
21,6445.0,1785.0
22,6436.0,1785.0
23,6736.0,1784.0
24,6464.0,1784.0
25,6431.0,1783.0
26,6416.0,1783.0
27,6415.0,1782.0
28,6370.0,1782.0
29,6543.0,1781.0
30,6543.0,1780.0
31,6423.0,1780.0
32,6606.0,1780.0
33,6406.0,1780.0
34,6405.0,1780.0
35,6481.0,1779.0
36,6779.0,1779.0
37,6406.0,1779.0
38,6417.0,1778.0
39,6618.0,1777.0
40,6588.0,1776.0
41,6492.0,1776.0
42,6466.0,1776.0
43,6613.0,1775.0
44,6424.0,1774.0
45,6605.0,1774.0
46,6415.0,1774.0
47,6529.0,1773.0
48,6539.0,1773.0
49,6542.0,1772.0
50,6416.0,1772.0
51,6339.0,1769.0
52,6553.0,1769.0
53,6621.0,1769.0
54,6603.0,1768.0
55,6356.0,1768.0
56,6411.0,1768.0
57,6416.0,1768.0
58,6422.0,1768.0
59,6607.0,1768.0
60,6428.0,1768.0
61,6459.0,1767.0
62,6462.0,1767.0
63,6569.0,1766.0
64,6569.0,1766.0
65,6758.0,1765.0
66,6589.0,1765.0
67,6601.0,1765.0
68,6604.0,1764.0
69,6596.0,1764.0
70,6602.0,1763.0
71,6543.0,1763.0
72,6597.0,1761.0
73,6603.0,1761.0
74,6596.0,1761.0
75,6596.0,1761.0
76,6422.0,1760.0
77,6782.0,1760.0
78,6416.0,1760.0
79,6687.0,1759.0
80,6401.0,1759.0
81,6783.0,1759.0
82,6589.0,1759.0
83,6589.0,1759.0
84,6419.0,1758.0
85,6416.0,1758.0
86,6708.0,1758.0
87,6422.0,1757.0
88,6763.0,1757.0
89,6540.0,1757.0
90,6643.0,1757.0
91,6540.0,1756.0
92,6618.0,1756.0
93,6688.0,1755.0
94,6428.0,1755.0
95,6682.0,1755.0
96,6453.0,1755.0
97,6462.0,1754.0
98,6589.0,1754.0
99,6569.0,1751.0
100,6703.0,1751.0
101,6568.0,1751.0
102,6482.0,1751.0
103,6567.0,1751.0
104,6569.0,1751.0
105,6568.0,1751.0
106,6541.0,1751.0
107,6547.0,1750.0
108,6561.0,1750.0
109,6560.0,1750.0
110,6559.0,1750.0
111,6559.0,1750.0
112,6556.0,1750.0
113,6565.0,1750.0
114,6562.0,1749.0
115,6699.0,1748.0
116,6561.0,1748.0
117,6336.0,1748.0
118,6561.0,1748.0
119,6709.0,1748.0
120,6445.0,1747.0
121,6744.0,1747.0
122,6514.0,1746.0
123,6710.0,1746.0
124,6710.0,1746.0
125,6448.0,1746.0
126,6554.0,1746.0
127,6540.0,1745.0
128,6549.0,1745.0
129,6549.0,1745.0
130,6550.0,1745.0
131,6748.0,1745.0
132,6688.0,1744.0
133,6527.0,1744.0
134,6654.0,1744.0
135,6686.0,1743.0
136,6537.0,1743.0
137,6765.0,1742.0
138,6693.0,1742.0
139,6536.0,1742.0
140,6527.0,1741.0
141,6535.0,1740.0
142,6767.0,1739.0
143,6458.0,1738.0
144,6608.0,1738.0
145,6770.0,1737.0
146,6685.0,1737.0
147,6548.0,1737.0
148,6770.0,1737.0
149,6776.0,1737.0
150,6607.0,1736.0
151,6413.0,1735.0
152,6514.0,1734.0
153,6771.0,1734.0
154,6537.0,1734.0
155,6513.0,1734.0
156,6629.0,1733.0
157,6411.0,1731.0
158,6679.0,1731.0
159,6720.0,1731.0
160,6763.0,1729.0
161,6408.0,1729.0
162,6408.0,1729.0
163,6548.0,1729.0
164,6603.0,1729.0
165,6789.0,1728.0
166,6408.0,1728.0
167,6687.0,1726.0
168,6759.0,1726.0
169,6481.0,1726.0
170,6758.0,1724.0
171,6400.0,1724.0
172,6440.0,1723.0
173,6550.0,1723.0
174,6407.0,1723.0
175,6637.0,1723.0
176,6558.0,1723.0
177,6401.0,1723.0
178,6732.0,1722.0
179,6392.0,1722.0
180,6405.0,1721.0
181,6409.0,1721.0
182,6406.0,1721.0
183,6484.0,1720.0
184,6409.0,1720.0
185,6468.0,1720.0
186,6481.0,1720.0
187,6755.0,1719.0
188,6440.0,1718.0
189,6402.0,1718.0
190,6607.0,1718.0
191,6757.0,1717.0
192,6549.0,1714.0
193,6549.0,1714.0
194,6574.0,1714.0
195,6689.0,1714.0
196,6754.0,1713.0
197,6542.0,1713.0
198,6534.0,1713.0
199,6675.0,1713.0
200,6675.0,1712.0
201,6743.0,1712.0
202,6749.0,1712.0
203,6752.0,1711.0
204,6660.0,1710.0
205,6331.0,1710.0
206,6504.0,1708.0
207,6513.0,1708.0
208,6744.0,1708.0
209,6765.0,1707.0
210,6402.0,1706.0
211,6402.0,1705.0
212,6547.0,1705.0
213,6770.0,1705.0
214,6745.0,1704.0
215,6513.0,1704.0
216,6655.0,1701.0
217,6617.0,1700.0
218,6644.0,1700.0
219,6655.0,1699.0
220,6704.0,1699.0
221,6653.0,1697.0
222,6410.0,1697.0
223,6653.0,1696.0
224,6627.0,1696.0
225,6652.0,1696.0
226,6706.0,1695.0
227,6651.0,1694.0
228,6797.0,1693.0
229,6549.0,1691.0
230,6618.0,1691.0
231,6613.0,1691.0
232,6532.0,1690.0
233,6396.0,1690.0
234,6404.0,1690.0
235,6549.0,1690.0
236,6549.0,1690.0
237,6412.0,1690.0
238,6418.0,1690.0
239,6686.0,1690.0
240,6602.0,1689.0
241,6718.0,1689.0
242,6610.0,1689.0
243,6619.0,1689.0
244,6792.0,1689.0
245,6680.0,1689.0
246,6474.0,1688.0
247,6659.0,1688.0
248,6644.0,1687.0
249,6675.0,1687.0
250,6707.0,1686.0
251,6604.0,1686.0
252,6686.0,1685.0
253,6389.0,1685.0
254,6670.0,1684.0
255,6726.0,1684.0
256,6422.0,1684.0
257,6781.0,1682.0
258,6729.0,1682.0
259,6728.0,1681.0
260,6619.0,1680.0
261,6800.0,1680.0
262,6732.0,1679.0
263,6738.0,1678.0
264,6425.0,1678.0
265,6785.0,1677.0
266,6422.0,1677.0
267,6424.0,1677.0
268,6677.0,1676.0
269,6659.0,1675.0
270,6556.0,1675.0
271,6550.0,1675.0
272,6611.0,1674.0
273,6773.0,1674.0
274,6424.0,1674.0
275,6633.0,1674.0
276,6553.0,1673.0
277,6326.0,1673.0
278,6552.0,1673.0
279,6553.0,1672.0
280,6422.0,1672.0
281,6558.0,1672.0
282,6560.0,1672.0
283,6556.0,1672.0
284,6561.0,1672.0
285,6553.0,1672.0
286,6567.0,1671.0
287,6679.0,1671.0
288,6720.0,1671.0
289,6715.0,1671.0
290,6564.0,1671.0
291,6676.0,1671.0
292,6546.0,1671.0
293,6569.0,1670.0
294,6677.0,1669.0
295,6680.0,1669.0
296,6426.0,1668.0
297,6569.0,1668.0
298,6568.0,1668.0
299,6567.0,1668.0
300,6344.0,1668.0
301,6369.0,1668.0
302,6747.0,1667.0
303,6553.0,1667.0
304,6617.0,1667.0
305,6559.0,1667.0
306,6598.0,1667.0
307,6608.0,1667.0
308,6559.0,1667.0
309,6513.0,1666.0
310,6489.0,1666.0
311,6349.0,1666.0
312,6554.0,1666.0
313,6553.0,1666.0
314,6616.0,1665.0
315,6681.0,1665.0
316,6681.0,1665.0
317,6623.0,1664.0
318,6763.0,1664.0
319,6460.0,1664.0
320,6561.0,1664.0
321,6756.0,1664.0
322,6643.0,1664.0
323,6761.0,1663.0
324,6763.0,1662.0
325,6361.0,1661.0
326,6359.0,1661.0
327,6361.0,1661.0
328,6361.0,1660.0
329,6379.0,1660.0
330,6733.0,1660.0
331,6564.0,1660.0
332,6349.0,1659.0
333,6557.0,1659.0
334,6353.0,1658.0
335,6353.0,1658.0
336,6405.0,1658.0
337,6351.0,1657.0
338,6637.0,1657.0
339,6353.0,1656.0
340,6555.0,1656.0
341,6778.0,1655.0
342,6349.0,1655.0
343,6356.0,1653.0
344,6422.0,1652.0
345,6427.0,1652.0
346,6429.0,1652.0
347,6805.0,1651.0
348,6702.0,1651.0
349,6359.0,1651.0
350,6575.0,1649.0
351,6649.0,1649.0
352,6363.0,1649.0
353,6363.0,1649.0
354,6340.0,1648.0
355,6364.0,1647.0
356,6572.0,1647.0
357,6715.0,1647.0
358,6667.0,1647.0
359,6335.0,1646.0
360,6555.0,1646.0
361,6686.0,1644.0
362,6685.0,1644.0
363,6686.0,1644.0
364,6682.0,1643.0
365,6693.0,1643.0
366,6685.0,1643.0
367,6686.0,1643.0
368,6606.0,1642.0
369,6700.0,1641.0
370,6648.0,1640.0
371,6690.0,1640.0
372,6445.0,1640.0
373,6689.0,1640.0
374,6692.0,1640.0
375,6705.0,1639.0
376,6707.0,1638.0
377,6692.0,1638.0
378,6605.0,1637.0
379,6685.0,1637.0
380,6429.0,1637.0
381,6711.0,1636.0
382,6575.0,1636.0
383,6690.0,1636.0
384,6448.0,1636.0
385,6706.0,1635.0
386,6704.0,1635.0
387,6679.0,1635.0
388,6605.0,1635.0
389,6603.0,1634.0
390,6398.0,1633.0
391,6741.0,1632.0
392,6714.0,1632.0
393,6674.0,1631.0
394,6684.0,1631.0
395,6373.0,1630.0
396,6532.0,1630.0
397,6772.0,1630.0
398,6808.0,1630.0
399,6772.0,1630.0
400,6750.0,1630.0
401,6806.0,1630.0
402,6805.0,1630.0
403,6809.0,1629.0
404,6781.0,1629.0
405,6698.0,1629.0
406,6698.0,1629.0
407,6367.0,1629.0
408,6624.0,1628.0
409,6623.0,1628.0
410,6554.0,1628.0
411,6623.0,1627.0
412,6677.0,1627.0
413,6767.0,1627.0
414,6422.0,1626.0
415,6424.0,1626.0
416,6776.0,1625.0
417,6770.0,1625.0
418,6776.0,1625.0
419,6410.0,1625.0
420,6772.0,1625.0
421,6772.0,1625.0
422,6555.0,1625.0
423,6396.0,1625.0
424,6422.0,1625.0
425,6390.0,1624.0
426,6401.0,1624.0
427,6424.0,1623.0
428,6772.0,1623.0
429,6770.0,1623.0
430,6392.0,1622.0
431,6403.0,1622.0
432,6404.0,1622.0
433,6518.0,1621.0
434,6645.0,1621.0
435,6720.0,1620.0
436,6766.0,1620.0
437,6686.0,1620.0
438,6686.0,1620.0
439,6772.0,1620.0
440,6336.0,1619.0
441,6558.0,1617.0
442,6319.0,1617.0
443,6473.0,1616.0
444,6422.0,1616.0
445,6448.0,1615.0
446,6653.0,1615.0
447,6458.0,1614.0
448,6655.0,1613.0
449,6720.0,1613.0
450,6457.0,1612.0
451,6473.0,1611.0
452,6476.0,1611.0
453,6720.0,1611.0
454,6697.0,1611.0
455,6482.0,1610.0
456,6697.0,1610.0
457,6747.0,1610.0
458,6496.0,1609.0
459,6562.0,1609.0
460,6696.0,1609.0
461,6491.0,1609.0
462,6661.0,1608.0
463,6746.0,1608.0
464,6483.0,1607.0
465,6496.0,1607.0
466,6457.0,1607.0
467,6746.0,1606.0
468,6744.0,1606.0
469,6740.0,1606.0
470,6479.0,1605.0
471,6475.0,1605.0
472,6483.0,1603.0
473,6484.0,1602.0
474,6417.0,1602.0
475,6445.0,1601.0
476,6586.0,1601.0
477,6440.0,1600.0
478,6747.0,1600.0
479,6562.0,1600.0
480,6699.0,1599.0
481,6723.0,1599.0
482,6657.0,1599.0
483,6595.0,1596.0
484,6394.0,1595.0
485,6402.0,1595.0
486,6340.0,1594.0
487,6817.0,1593.0
488,6725.0,1592.0
489,6526.0,1591.0
490,6368.0,1591.0
491,6741.0,1590.0
492,6591.0,1588.0
493,6597.0,1586.0
494,6587.0,1586.0
495,6604.0,1586.0
496,6590.0,1586.0
497,6587.0,1585.0
498,6586.0,1585.0
499,6588.0,1584.0
500,6614.0,1584.0
501,6586.0,1584.0
502,6463.0,1584.0
